Payroll ID,Start Date,End Date,Pay Date,Gross Pay,Net Pay,Currency,Employee ID,First Name,Middle Name,Last Name,Title,Employment Type,Employment Subtype,Start Date,End Date,Latest Rehire Date,Active,Location,Income Amount,Income Currency,Income Unit,Email
fd53e782-56ab-4ba4-96c7-feac7b1c19cf,2025-02-15,2025-03-01,2025-03-01,56683327,64249529,usd,a6f57874-904e-4426-862a-45e65a25587e,Faustino,Dakota,Wisoky,Direct Web Producer,contractor,intern,2025-01-18,-,2025-01-31,Yes,"458 E 6th Avenue, Suite 882, Port Corene, CT, MN, 06277",5505729.0,MYR,yearly,-
fd53e782-56ab-4ba4-96c7-feac7b1c19cf,2025-02-15,2025-03-01,2025-03-01,56683327,64249529,usd,334ff5ff-e41f-4ac6-907d-02299f8d8c74,Savanah,Jordan,Kuhlman,Future Accountability Analyst,employee,full_time,2024-03-16,-,2025-02-08,Yes,"510 E Oak Street, Apt. 551, Fort Caden, UT, KE, 84133",1675517.0,TTD,hourly,-
fd53e782-56ab-4ba4-96c7-feac7b1c19cf,2025-02-15,2025-03-01,2025-03-01,56683327,64249529,usd,0594213b-d3da-418f-83b6-540e97af8281,Julien,Quinn,Williamson,Legacy Quality Liaison,employee,full_time,2024-03-03,-,2024-11-15,Yes,"3006 Martin Luther King Jr Boulevard, Suite 543, North Talia, AR, AI, 72734",5946034.0,TJS,quarterly,-
fd53e782-56ab-4ba4-96c7-feac7b1c19cf,2025-02-15,2025-03-01,2025-03-01,56683327,64249529,usd,52e0a35f-e636-4a2e-8a50-bce239101613,Ross,Kai,Hermiston,Forward Directives Planner,contractor,individual_contractor,2024-09-28,-,2024-11-03,Yes,"6016 Ezekiel Burg, Apt. 651, South Timmytown, OR, CD, 97634",3502116.0,IQD,monthly,-
fd53e782-56ab-4ba4-96c7-feac7b1c19cf,2025-02-15,2025-03-01,2025-03-01,56683327,64249529,usd,46fa37ee-54f4-4d9e-9eb9-40bbe70e317f,Nina,Finley,Rogahn,Chief Assurance Designer,employee,intern,2024-04-07,-,2024-12-14,Yes,"82969 Von Coves, Apt. 493, New Julesbury, IA, AT, 50333",839414.0,KES,daily,-
fd53e782-56ab-4ba4-96c7-feac7b1c19cf,2025-02-15,2025-03-01,2025-03-01,56683327,64249529,usd,48766099-2e4a-4dae-9b42-b197b491718b,Davon,Hayden,Nicolas,District Operations Assistant,employee,intern,2024-10-05,-,2024-09-16,Yes,"691 Schaden Isle, Suite 322, West Lulatown, MN, IT, 55426",515943.0,SGD,daily,-
fd53e782-56ab-4ba4-96c7-feac7b1c19cf,2025-02-15,2025-03-01,2025-03-01,56683327,64249529,usd,1d2e27f9-e5a7-45cd-8391-d26d86f6e00f,Keon,Hayden,Ryan,Chief Accountability Manager,contractor,temp,2024-09-20,-,2024-04-03,Yes,"98712 N Front Street, Apt. 907, Favianfurt, MN, RO, 55543",341852.0,TMT,fixed,-
fd53e782-56ab-4ba4-96c7-feac7b1c19cf,2025-02-15,2025-03-01,2025-03-01,56683327,64249529,usd,d0c13c37-6b58-42f9-8028-c556984f3c2c,Aracely,Logan,Frami,Product Optimization Assistant,contractor,individual_contractor,2024-11-15,-,2024-06-03,Yes,"1446 Jackeline Crest, Suite 371, Bergeton, MT, BY, 59296",4152827.0,TJS,semi_monthly,-
fd53e782-56ab-4ba4-96c7-feac7b1c19cf,2025-02-15,2025-03-01,2025-03-01,56683327,64249529,usd,ea4578e2-fbb6-4c3e-b37e-f7ae36e8a029,Tiffany,Kai,Wilkinson,Corporate Data Liaison,contractor,intern,2024-08-18,-,2024-10-30,Yes,"4498 Heller Fork, Apt. 782, Lake Kurt, PA, AE, 15104",4218589.0,BGN,hourly,-
fd53e782-56ab-4ba4-96c7-feac7b1c19cf,2025-02-15,2025-03-01,2025-03-01,56683327,64249529,usd,c6b83dba-d227-46c4-b86f-f0e93508be72,Gerson,Avery,Legros,Product Quality Planner,employee,individual_contractor,2025-01-08,-,2025-01-25,Yes,"100 Raheem Pike, Suite 317, Swiftland, IN, CZ, 47042",4732670.0,GHS,semi_monthly,-
